artist,song_title,category,socan_type,new_music,instrumental,can_con
W. Cosby,Moderato,31-Concert/Classical,Feature,FALSE,TRUE,FALSE
Nobuko Imai & Mie Miki,Rondeau 14: 'Ma Fin Est Mon Commencement',31-Concert/Classical,Feature,FALSE,TRUE,FALSE
À Qui Avec Gabriel,Kiken (Koiwai Farm Air),36-Experimental,Feature,FALSE,TRUE,FALSE
Yves Lambert,Le Marcheur,33-World (including Reggae),Feature,FALSE,FALSE,TRUE
Yolassi,The Last,21-Pop/Rock/RPM/Beatbox/Loud,Feature,FALSE,TRUE,FALSE
True Jive Pluckers,A Don Agustin Bardi,34-Jazz/Blues,Feature,FALSE,TRUE,TRUE
Stuart Estell,Sweet Jenny Jones,32-Folk,Feature,FALSE,TRUE,FALSE
Juliette Daum,Gavota,31-Concert/Classical,Feature,FALSE,TRUE,FALSE
Franco & Tpok Jazz with Camille Feruzi,Likambo ya ngana,33-World (including Reggae),Feature,FALSE,TRUE,FALSE
The Captain & Me,William Mason’s Summer,21-Pop/Rock/RPM/Beatbox/Loud,Feature,FALSE,TRUE,FALSE
Mairearad Green,Island Folk,23-Acouustic Performances,Feature,FALSE,FALSE,FALSE
Zeellia,Day Breaks,33-World (including Reggae),Feature,FALSE,FALSE,TRUE
altertango,para siempre,33-World (including Reggae),Feature,FALSE,FALSE,FALSE
Nat Brookes,The Good Old Way _ Ultra Breath,32-Folk,Feature,FALSE,TRUE,FALSE
"Antonio Tanguma, su acordeón de botones y sus Regiomontano",Agustina,33-World (including Reggae),Feature,FALSE,TRUE,FALSE
Stef on a Clear Day,Summer Camp,32-Folk,Feature,FALSE,FALSE,FALSE
